datetime	tstart	tfinish	type	group	site	treatment	block	temp.C	pres.kPA	PAR	NEE	Rsqd
13.08.2016 10:32	10	100	resp	inge	elev4100	c	4	18,38	60,87	3,96	-3,67	0,92
13.08.2016 10:39	10	70	resp	inge	elev4100	tt4	3	18,11	60,87	3,13	-4,77	0,95
13.08.2016 10:25	10	100	resp	inge	elev4100	tt4	4	19,11	60,87	2,59	-4,84	0,97
13.08.2016 11:55	15	90	resp	inge	elev4100	c	1	20,11	60,82	2,54	-4,99	0,97
13.08.2016 12:21	10	120	resp	inge	elev4100	otc	3	21,11	60,85	3,89	-5,89	0,99
13.08.2016 11:42	10	110	resp	inge	elev4100	tt0	1	19,99	60,83	2,96	-5,14	0,96
13.08.2016 11:59	10	100	photo	inge	elev4100	tt0	2	19,11	60,85	1577,83	5,2	0,98
13.08.2016 12:25	150	220	photo	inge	elev4100	tt0	3	20,76	60,83	1550,66	4,1	0,97
13.08.2016 11:45	80	170	photo	inge	elev4100	tt2	1	20,22	60,83	1678,51	3,67	0,95
13.08.2016 12:05	5	70	photo	inge	elev4100	tt2	3	20,37	60,85	1802,75	3,44	0,92
13.08.2016 11:17	30	90	photo	inge	elev4100	otc	1	18,11	60,86	1192,17	9,91	0,97
13.08.2016 11:07	85	145	photo	inge	elev4100	otc	2	17,07	60,87	696,18	4,74	0,9
13.08.2016 12:29	10	90	resp	inge	elev4100	tt0	3	21,11	60,83	3,14	-5,63	0,95
13.08.2016 11:49	10	100	resp	inge	elev4100	tt2	1	20,61	60,83	3,10	-5,67	0,97
13.08.2016 12:08	10	130	resp	inge	elev4100	tt2	3	19,28	60,86	3,35	-2,92	0,92
13.08.2016 11:20	10	120	resp	inge	elev4100	otc	1	19,11	60,86	2,07	-5,63	0,97
13.08.2016 11:10	10	140	resp	inge	elev4100	otc	2	17,23	60,86	3,15	-6,39	0,98
13.08.2016 10:43	10	90	photo	inge	elev4100	tt0	2	17,75	60,88	457,78	0,51	0,43
13.08.2016 10:50	40	120	photo	inge	elev4100	tt2	2	17,11	60,89	366,56	-3,72	0,95
13.08.2016 11:23	120	180	photo	inge	elev4100	tt4	1	19,06	60,85	1679,98	5,24	0,96
13.08.2016 10:58	10	75	photo	inge	elev4100	tt4	2	16,29	60,87	1081,87	1,65	0,64
13.08.2016 10:46	10	90	resp	inge	elev4100	tt0	2	17,11	60,89	2,55	-4,43	0,95
13.08.2016 10:53	10	120	resp	inge	elev4100	tt2	2	16,65	60,88	2,39	-9,61	0,99
13.08.2016 11:35	20	100	resp	inge	elev4100	tt4	1	19,97	60,86	1,07	-5,07	0,95
13.08.2016 11:04	10	90	resp	inge	elev4100	tt4	2	16,61	60,89	2,29	-5,18	0,92
12.08.2016 08:54	10	120	photo	inge	elev3850	c	7	20,61	62,81	876,55	-1,07	0,96
12.08.2016 08:47	10	80	photo	inge	elev3850	otc	7	20,61	62,81	466,54	-1,93	0,95
12.08.2016 11:25	95	155	photo	inge	elev3850	c	2	21,64	62,76	1917,38	2,45	0,88
12.08.2016 11:32	10	90	photo	inge	elev3850	tt1	2	22,96	62,8	1171,99	-13,53	0,98
12.08.2016 11:18	20	90	photo	inge	elev3850	tt2	1	20,11	62,79	1067,10	-9,73	0,95
